id,sku,name,current_category,current_subcategory,suggested_category,suggested_subcategory
ab3ac2ec-5ab9-47bb-b78a-30b62d2ec778,25-138-00,"Mclvor Mouth Gag",Uncategorized,General,,
8c142728-d4ac-4e68-aafa-1de478d41280,25-120-11,"Obwegeser Mouth Gag",Uncategorized,General,,
f91b9ebf-2bdb-440f-85ee-62fd85d00635,25-136-00,"Kilner-Doughty Mouth Gag",Uncategorized,General,,
924e3aef-a311-4564-a9a9-e3a31950ab35,25-118-13,"Heister Mouth Gag",Uncategorized,General,,
b5dbeadb-e77f-48e0-b957-6cddf580cc52,25-104-13,"Terry Graft packer",Uncategorized,General,,
9e157b9a-22d5-4511-9e55-e94f85989095,25-102-11,"Terry Graft packer",Uncategorized,General,,
ea3cce3d-4f58-4d1c-9ace-bcc8fc194ed5,24-411-01,"Nasel speula Adult with lock",Uncategorized,General,,
2beaf157-5eb0-4c3f-a595-023eef12ee8d,20-230-22,"20-230-22",Uncategorized,General,,
fdf918dc-afd3-4adc-8f2a-82a778423fc1,15-565-14,"St",Uncategorized,General,,
350e591f-3d47-450e-87f0-8e9103bb4002,15-121-00,"Raney Scalp Clip",Uncategorized,General,,
0c2b20bb-903b-40b6-be89-621ece14f2af,14-522-27,"Rumel-Belmont Tourniquet",Uncategorized,General,,
c45e5694-2591-4601-a9fb-b3257730dd6e,15-108-07,"Drill Point",Uncategorized,General,,
82f612f0-d2a6-4220-a994-fd35b602543e,20-230-23,"20-230-23",Uncategorized,General,,
db0ead7d-59d8-4ddc-93c6-b0db5915db5e,15-104-25,"Lebsche wire saw guide",Uncategorized,General,,
d2fab1a9-6571-434b-bd26-4725601a8edc,15-101-30,"Wire Saw",Uncategorized,General,,
71815360-eae8-4922-ad3b-d22b066b85cb,24-400-00,"Goldsmith (Thudichum)",Uncategorized,General,,
a423f52f-5c5e-4180-80fc-80f6cb540c89,24-302-01,"Cottle Handle cartilage crusher",Uncategorized,General,,
5ff2ad1c-8b68-46ad-9e04-542b1cb59e93,20-230-24,"20-230-24",Uncategorized,General,,
8d4c6792-b962-4b61-8588-ec113fe9c547,20-230-25,"20-230-25",Uncategorized,General,,
3b96d8bb-12dd-4072-affb-aa6cafba83fe,15-398-00,"Bone waxer",Uncategorized,General,,
024f0d7a-8cf0-47dc-a431-34e7667dd9b9,28-398-02,"Bedpan",Uncategorized,General,,
faad7445-ac08-4774-b145-cdf8b7c94925,28-400-02,"Bedpan",Uncategorized,General,,
11c43263-f5cd-4f75-9b68-35dc1abb666a,24-306-00,"Cottle Cartilage crusher",Uncategorized,General,,
22e71181-f4d2-4d3e-95da-ca0ecc12e814,24-383-04,"ST",Uncategorized,General,,
81be23d3-7a5c-4685-94cf-82c2f464cbdd,24-152-20,"Septum morselizer",Uncategorized,General,,
961c8a91-3e72-4185-b448-266e53b4074c,20-230-26,"20-230-26",Uncategorized,General,,
1e90cad2-2bd4-4a8c-a36f-35a8f1fef61a,24-156-18,"Rubin Septum morselizer",Uncategorized,General,,
8fb8b86f-4bb9-41d5-810a-cd382d3ab8c3,15-405-00,"Bone waxer",Uncategorized,General,,
938c0ce2-f20c-4f52-ab46-642995b5a92d,15-423-00,"Bone waxer",Uncategorized,General,,
3418a131-d941-4717-809b-c565f0cee540,15-263-00,"Vessel Knives",Uncategorized,General,,
af96625a-2408-4903-b160-84ae0c4b2121,24-154-01,"Rubin Protection cap for Septum morselizer ref",Uncategorized,General,,
e5c61889-444d-44d0-9825-344a1acf70cb,15-289-18,"Suture Pusher",Uncategorized,General,,
db5fa9f1-9f98-4ba7-8d29-18be2b3bc35a,23-540-16,"Politzer Tympanum Needle",Uncategorized,General,,
a4977a4c-3ae9-4b09-b3d8-1f09027a9366,23-536-17,"Politzer Tympanum Needle",Uncategorized,General,,
840543c6-8999-4232-bbbe-68638b9d9d77,23-538-16,"Politzer Tympanum Needle",Uncategorized,General,,
e4fb81e3-52eb-43eb-8482-ac1d27f3cc98,23-508-15,"Politzer Paracentesis Needle",Uncategorized,General,,
0d0d5f52-fe8a-4334-bf1c-54eaa46e062d,23-198-16,"Needle",Uncategorized,General,,
c3ca8af0-9f39-454d-850c-a481dca9357a,23-134-01,"Barbara micro ear needle",Uncategorized,General,,
dc98df34-90e0-4d94-a4e4-5ad71d307164,23-400-03,"Dieter Malleus nipper",Uncategorized,General,,
14412576-9ba3-4486-9e69-d677bed531a2,23-406-06,"Dieter Malleus nipper",Uncategorized,General,,
1b048c73-c598-441f-b9f3-eed4606813a3,23-494-16,"Moldenhauer Foreign Body Lever",Uncategorized,General,,
eef83644-550e-4e18-87cf-7f432649db9b,23-200-16,"Needle",Uncategorized,General,,
0145888e-07bc-4f30-a2a0-feb4c3e0def8,23-180-35,"House Micro measuring rod",Uncategorized,General,,
809e2a81-0040-45ac-9bba-4d4e254107e9,09-310-01,"Jefferson Ventricular cannula",Uncategorized,General,,
1366ed6d-69f8-4146-9fb4-e8f693fa926b,23-140-04,"Rarsen micro ear needle",Uncategorized,General,,
6a3cde91-b6f5-49be-9bb7-7622d353d481,23-206-16,"Plester",Uncategorized,General,,
f2129ce7-bfe2-4fac-830b-f06c15dbbb50,15-311-24,"Hardy Implant Fork",Uncategorized,General,,
0e0a6dfc-167e-49f7-84be-66424e98ace6,23-136-02,"Barbara micro ear needle",Uncategorized,General,,
4bcbbed3-a1ef-4b67-8447-6addf6f3c822,04-116-04,"Muller Vessel Clips",Uncategorized,General,,
d7c057bf-b859-4030-865e-ea66f345a963,23-196-16,"Needle",Uncategorized,General,,
e0b510b3-ba0a-4fb3-9f37-4172f4bc81e4,04-104-04,"Muller Vessel Clips",Uncategorized,General,,
b1c07aa0-cfc5-4c7d-a774-846452f5517b,23-402-04,"Dieter Malleus nipper",Uncategorized,General,,
5ff7c88e-2f36-4032-a685-a42cac512147,04-140-02,"Muller Vessel Clips",Uncategorized,General,,
0ff6a181-1987-4c44-97ce-f11d155abe5f,23-306-90,"Socket",Uncategorized,General,,
f4868827-09e6-4012-a35f-d4dfa057b2ef,23-184-16,"Plester Wire Guide",Uncategorized,General,,
5bfc84ac-22eb-41d4-be05-8056fef3a779,15-321-26,"Fahlbusch Scoop",Uncategorized,General,,
ec2bd848-36aa-493f-8f21-40fb0f92e292,04-136-02,"Muller Vessel Clips",Uncategorized,General,,
bbaca57d-1e9f-4e8b-97d5-cd4c07f44821,23-492-01,"Billeau Ear loop",Uncategorized,General,,
d7f483c9-a1d3-4e8c-8009-dd1d3e34ddae,23-404-05,"Dieter Malleus nipper",Uncategorized,General,,
457b6d4a-798a-4677-9010-e5ac08e6ad03,23-300-90,"Socket",Uncategorized,General,,
ccf313b6-1a14-4b6c-a42a-3fd7a457599c,23-204-16,"Plester",Uncategorized,General,,
eee67ae0-a9eb-4141-be56-c8cfb73311d9,23-158-01,"Barbara micro ear needle",Uncategorized,General,,
b70e905c-c75a-4e5a-8b83-3cc6788f407c,09-302-01,"Heparin Flushing needle",Uncategorized,General,,
94339d96-1897-4a6b-bfec-ac05ec94ca7d,23-378-10,"Quire Foreign body lever",Uncategorized,General,,
7283ab52-61e1-452c-8b20-6d37a2543e5d,23-296-90,"Socket",Uncategorized,General,,
8a6ed004-05c7-4607-bd7b-a194008289c6,23-270-90,"Weights (Pair)",Uncategorized,General,,
ce284012-5169-4fdd-bdb7-47dc9dcb8bfd,23-160-02,"Barbara micro ear needle",Uncategorized,General,,
8a22d651-e4ca-4b96-8aa0-74afaf415d5e,23-138-03,"Barbara micro ear needle",Uncategorized,General,,
b2caf974-e435-4099-98dc-8409140e022d,23-118-01,"House-Dieter Malleus Nipper",Uncategorized,General,,
